"job_id","job_title","salary_year_avg","company_name"
226942,"Data Analyst","650000.0","Mantys"
547382,"Director of Analytics","336500.0","Meta"
552322,"Associate Director- Data Insights","255829.5","AT&T"
99305,"Data Analyst, Marketing","232423.0","Pinterest Job Advertisements"
1021647,"Data Analyst (Hybrid/Remote)","217000.0","Uclahealthcareers"
168310,"Principal Data Analyst (Remote)","205000.0","SmartAsset"
731368,"Director, Data Analyst - HYBRID","189309.0","Inclusively"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","Motional"
1749593,"Principal Data Analyst","186000.0","SmartAsset"
387860,"ERM Data Analyst","184000.0","Get It Recruit - Information Technology"
